i_avg,i_city,i_thread,elapsed_time,cutoff
0,13,256,37.065,5
0,13,256,5.38117,6
0,13,256,0.775435,7
0,13,256,0.473701,8
0,13,256,0.560952,9
0,13,256,1.31735,10
0,13,256,8.9411,11
0,13,256,66.6558,12
